FIPS,without_decimal,Percent_Below_Poverty
41013,1345,13.45
29137,1345,13.45
5013,1345,13.45
36063,1346,13.46
42105,1347,13.47
47047,1347,13.47
6035,1347,13.47
23027,1348,13.48
18077,1348,13.48
39093,1348,13.48
36049,1348,13.48
37073,1349,13.49
18007,1349,13.49
29145,1350,13.5
21037,1350,13.5
31019,1350,13.5
55129,1350,13.5
39139,1351,13.51
1037,1351,13.51
27099,1351,13.51
28057,1351,13.51
10001,1352,13.52
36017,1353,13.53
48451,1353,13.53
6083,1354,13.54
1009,1355,13.55
27105,1355,13.55
27021,1356,13.56
17177,1356,13.56
31157,1356,13.56
39151,1356,13.56
47043,1357,13.57
1083,1357,13.57
50015,1358,13.58
37003,1361,13.61
27071,1361,13.61
42081,1362,13.62
32033,1362,13.62
41063,1363,13.63
17067,1363,13.63
36043,1364,13.64
48467,1364,13.64
19069,1365,13.65
13083,1365,13.65
26131,1366,13.66
49013,1366,13.66
