State,FIPS,Value (Dollars),Rank within US
"Licking County, Ohio",39089,64589,487 of 3146
"Bastrop County, Texas",48021,64597,486 of 3146
"Douglas County, Nebraska",31055,64629,485 of 3146
"Stillwater County, Montana",30095,64645,484 of 3146
"Cook County, Illinois",17031,64660,482 of 3146
"Ramsey County, Minnesota",27123,64660,482 of 3146
"Hanson County, South Dakota",46061,64696,481 of 3146
"Cheshire County, New Hampshire",33005,64751,480 of 3146
"Butler County, Kansas",20015,64782,479 of 3146
"Hughes County, South Dakota",46065,64783,478 of 3146
"Washoe County, Nevada",32031,64791,477 of 3146
"Cavalier County, North Dakota",38019,64798,476 of 3146
"Putnam County, Ohio",39137,64822,475 of 3146
"Buchanan County, Iowa",19019,64837,474 of 3146
"Jefferson County, Kansas",20087,64864,473 of 3146
"Pike County, Georgia",13231,64878,472 of 3146
"Linn County, Iowa",19113,64903,470 of 3146
"Steele County, Minnesota",27147,64903,470 of 3146
"Gray County, Kansas",20069,64930,469 of 3146
"Ontario County, New York",36069,64944,468 of 3146
"Lyon County, Iowa",19119,64982,467 of 3146
"Caroline County, Virginia",51033,65103,466 of 3146
"Crook County, Wyoming",56011,65132,465 of 3146
"Skamania County, Washington",53059,65181,464 of 3146
"Wabasha County, Minnesota",27157,65226,463 of 3146
"Leelanau County, Michigan",26089,65249,462 of 3146
"Winneshiek County, Iowa",19191,65263,461 of 3146
"Uintah County, Utah",49047,65264,460 of 3146
"Clay County, Minnesota",27027,65269,459 of 3146
"Eddy County, New Mexico",35015,65328,458 of 3146
"Logan County, Oklahoma",40083,65357,457 of 3146
"York County, South Carolina",45091,65361,456 of 3146
"Jackson County, Georgia",13157,65385,454 of 3146
"West Baton Rouge Parish, Louisiana",22121,65385,454 of 3146
"Scott County, Kansas",20171,65417,453 of 3146
"Rogers County, Oklahoma",40131,65434,452 of 3146
"Deuel County, South Dakota",46039,65437,451 of 3146
"Madison County, Alabama",1089,65449,450 of 3146
"Jefferson County, Missouri",29099,65454,449 of 3146
"Franklin County, Vermont",50011,65485,448 of 3146
"Dickey County, North Dakota",38021,65492,447 of 3146
"Schenectady County, New York",36093,65499,446 of 3146
"Perkins County, Nebraska",31135,65543,445 of 3146
"Outagamie County, Wisconsin",55087,65572,444 of 3146
"Fredericksburg City, Virginia",51630,65641,443 of 3146
"Hood River County, Oregon",41027,65679,442 of 3146
"Clay County, Florida",12019,65740,441 of 3146
"Lewis and Clark County, Montana",30049,65791,440 of 3146
"Pike County, Pennsylvania",42103,65928,439 of 3146
"Crane County, Texas",48103,65969,438 of 3146
"Rankin County, Mississippi",28121,65996,437 of 3146
"Lancaster County, Pennsylvania",42071,66056,436 of 3146
"Kenai Peninsula Borough, Alaska",2122,66064,435 of 3146
"Nevada County, California",6057,66096,434 of 3146
"Butler County, Ohio",39017,66117,433 of 3146
"Morgan County, Georgia",13211,66178,432 of 3146
"Kewaunee County, Wisconsin",55061,66192,431 of 3146
"Austin County, Texas",48015,66206,430 of 3146
"Albany County, New York",36001,66252,429 of 3146
"Dawson County, Georgia",13085,66281,428 of 3146
"Jefferson County, Wisconsin",55055,66291,427 of 3146
"Storey County, Nevada",32029,66292,426 of 3146
"Ada County, Idaho",16001,66293,425 of 3146
"Madison County, Iowa",19121,66316,424 of 3146
"Benton County, Arkansas",5007,66362,423 of 3146
"Blanco County, Texas",48031,66390,422 of 3146
"Gallatin County, Montana",30031,66397,421 of 3146
"Ouray County, Colorado",8091,66417,420 of 3146
"York County, Pennsylvania",42133,66457,419 of 3146
"Windham County, Connecticut",9015,66550,418 of 3146
"Teller County, Colorado",8119,66592,417 of 3146
"Martin County, Texas",48317,66610,416 of 3146
"Clinton County, Illinois",17027,66639,415 of 3146
"Mecklenburg County, North Carolina",37119,66641,414 of 3146
"Seminole County, Florida",12117,66768,413 of 3146
"Columbia County, New York",36021,66787,412 of 3146
"Goodhue County, Minnesota",27049,66800,411 of 3146
"Douglas County, Nevada",32005,66810,410 of 3146
"Effingham County, Georgia",13103,66822,409 of 3146
"Pottawatomie County, Kansas",20149,66835,408 of 3146
"Salem County, New Jersey",34033,66842,407 of 3146
"Laramie County, Wyoming",56021,66910,406 of 3146
"Lincoln County, Wyoming",56023,66964,405 of 3146
"Clermont County, Ohio",39025,66968,404 of 3146
"King William County, Virginia",51101,66987,403 of 3146
"Riverside County, California",6065,67005,402 of 3146
"Skagit County, Washington",53057,67028,401 of 3146
"Chatham County, North Carolina",37037,67031,400 of 3146
"DeSoto County, Mississippi",28033,67038,398 of 3146
"San Miguel County, Colorado",8113,67038,398 of 3146
"Deschutes County, Oregon",41017,67043,397 of 3146
"Shelby County, Kentucky",21211,67056,396 of 3146
"Clear Creek County, Colorado",8019,67060,395 of 3146
"Cape May County, New Jersey",34009,67074,394 of 3146
"Eureka County, Nevada",32011,67105,392 of 3146
"Hamlin County, South Dakota",46057,67105,392 of 3146
"Sacramento County, California",6067,67151,391 of 3146
"Sumner County, Tennessee",47165,67204,390 of 3146
"Richland County, Montana",30083,67205,389 of 3146
"Weber County, Utah",49057,67244,388 of 3146
"Adams County, Pennsylvania",42001,67253,387 of 3146
"Plymouth County, Iowa",19149,67297,386 of 3146
"Cabarrus County, North Carolina",37025,67328,385 of 3146
"Greene County, Virginia",51079,67398,384 of 3146
"Nicollet County, Minnesota",27103,67399,383 of 3146
"St. Louis County, Missouri",29189,67420,382 of 3146
"Rutherford County, Tennessee",47149,67429,381 of 3146
"Fairfield County, Ohio",39045,67609,380 of 3146
"Pickens County, Georgia",13227,67631,379 of 3146
"Polk County, Iowa",19153,67637,378 of 3146
"McClain County, Oklahoma",40087,67662,377 of 3146
"McLean County, Illinois",17113,67675,376 of 3146
"Tarrant County, Texas",48439,67700,375 of 3146
"Polk County, Nebraska",31143,67719,374 of 3146
"Benton County, Iowa",19011,67729,373 of 3146
"Humboldt County, Nevada",32013,67756,372 of 3146
"Cedar County, Iowa",19031,67795,371 of 3146
"York County, Maine",23031,67830,370 of 3146
"Santa Rosa County, Florida",12113,67949,369 of 3146
"Columbia County, Wisconsin",55021,68005,368 of 3146
"Madison County, Ohio",39097,68022,367 of 3146
"Grundy County, Iowa",19075,68038,366 of 3146
"Los Angeles County, California",6037,68044,365 of 3146
"Randall County, Texas",48381,68261,364 of 3146
"Paulding County, Georgia",13223,68370,363 of 3146
"Beaufort County, South Carolina",45013,68377,362 of 3146
"McLean County, North Dakota",38055,68529,361 of 3146
"Rice County, Minnesota",27131,68584,360 of 3146
"Denver County, Colorado",8031,68592,359 of 3146
"Island County, Washington",53029,68604,358 of 3146
"Dearborn County, Indiana",18029,68658,357 of 3146
"Queens County, New York",36081,68666,356 of 3146
"Saunders County, Nebraska",31155,68682,355 of 3146
"La Plata County, Colorado",8067,68685,354 of 3146
"Hays County, Texas",48209,68717,353 of 3146
"Greene County, Ohio",39057,68720,352 of 3146
"Roberts County, Texas",48393,68750,351 of 3146
"El Paso County, Colorado",8041,68779,350 of 3146
"Addison County, Vermont",50001,68825,349 of 3146
"Ward County, North Dakota",38101,68871,348 of 3146
"St. Tammany Parish, Louisiana",22103,68905,347 of 3146
"Roanoke County, Virginia",51161,68948,346 of 3146
"Rensselaer County, New York",36083,68991,345 of 3146
"St. Charles Parish, Louisiana",22089,69019,344 of 3146
"Benton County, Washington",53005,69023,343 of 3146
"Bristol County, Massachusetts",25005,69095,342 of 3146
"Warren County, Virginia",51187,69116,341 of 3146
"Multnomah County, Oregon",41051,69176,340 of 3146
"Aleutians East Borough, Alaska",2013,69250,339 of 3146
"Boone County, Illinois",17007,69272,338 of 3146
"Lee County, Georgia",13177,69280,337 of 3146
"Ottawa County, Michigan",26139,69314,336 of 3146
"Kalawao County, Hawaii",15005,69375,335 of 3146
"Cass County, Missouri",29037,69433,334 of 3146
"Belknap County, New Hampshire",33001,69447,333 of 3146
"Jefferson County, Montana",30043,69646,332 of 3146
"Converse County, Wyoming",56009,69647,331 of 3146
"Collier County, Florida",12021,69653,330 of 3146
"Suffolk County, Massachusetts",25025,69669,329 of 3146
"Fulton County, Georgia",13121,69673,328 of 3146
"Passaic County, New Jersey",34031,69688,327 of 3146
"Sioux County, Iowa",19167,69844,326 of 3146
"New Haven County, Connecticut",9009,69905,325 of 3146
"Nassau County, Florida",12089,69943,324 of 3146
"Currituck County, North Carolina",37053,69964,322 of 3146
"Yoakum County, Texas",48501,70005,321 of 3146
"Monroe County, Florida",12087,70033,320 of 3146
"Southeast Fairbanks Census Area, Alaska",2240,70056,319 of 3146
"Kaufman County, Texas",48257,70107,318 of 3146
"Yolo County, California",6113,70228,317 of 3146
"Henrico County, Virginia",51087,70307,316 of 3146
"Union County, South Dakota",46127,70378,315 of 3146
"Seward County, Nebraska",31159,70389,314 of 3146
"Clinton County, Michigan",26037,70390,313 of 3146
"Bremer County, Iowa",19017,70395,312 of 3146
"Camden County, New Jersey",34007,70451,311 of 3146
"Northampton County, Pennsylvania",42095,70471,310 of 3146
"Clay County, Missouri",29047,70510,309 of 3146
"Gloucester County, Virginia",51073,70537,308 of 3146
"Morton County, North Dakota",38059,70556,307 of 3146
"Hemphill County, Texas",48211,70625,306 of 3146
"Butler County, Pennsylvania",42019,70668,305 of 3146
"Steele County, North Dakota",38091,70724,304 of 3146
"Scott County, Kentucky",21209,70817,303 of 3146
"Piatt County, Illinois",17147,70849,302 of 3146
"Hampshire County, Massachusetts",25015,70876,301 of 3146
"Ocean County, New Jersey",34029,70909,300 of 3146
"Monterey County, California",6053,71015,299 of 3146
"Gwinnett County, Georgia",13135,71026,298 of 3146
"Le Sueur County, Minnesota",27079,71080,297 of 3146
"Botetourt County, Virginia",51023,71110,296 of 3146
"Porter County, Indiana",18127,71152,295 of 3146
"Hudson County, New Jersey",34017,71189,294 of 3146
"Grand County, Colorado",8049,71198,293 of 3146
"Adams County, Colorado",8001,71202,292 of 3146
"Cumberland County, Pennsylvania",42041,71269,291 of 3146
"Henry County, Georgia",13151,71288,290 of 3146
"Edmunds County, South Dakota",46045,71324,289 of 3146
"Stanley County, South Dakota",46117,71382,288 of 3146
"Washington County, Nebraska",31177,71430,287 of 3146
"Burleigh County, North Dakota",38015,71524,286 of 3146
"Orange County, Virginia",51137,71548,285 of 3146
"Grand Isle County, Vermont",50013,71587,284 of 3146
"Yakutat City and Borough, Alaska",2282,71607,283 of 3146
"Orange County, North Carolina",37135,71723,282 of 3146
"Dukes County, Massachusetts",25007,71811,281 of 3146
"Madison County, Mississippi",28089,71824,280 of 3146
"Cass County, Nebraska",31025,71846,279 of 3146
"Larimer County, Colorado",8069,71881,278 of 3146
"Prince George County, Virginia",51149,71912,277 of 3146
"Miami County, Kansas",20121,71995,276 of 3146
"Thurston County, Washington",53067,72003,275 of 3146
"Stark County, North Dakota",38089,72045,274 of 3146
"Canadian County, Oklahoma",40017,72056,273 of 3146
"Mills County, Iowa",19129,72079,272 of 3146
"Pierce County, Washington",53053,72113,271 of 3146
"Mountrail County, North Dakota",38061,72147,270 of 3146
"Borden County, Texas",48033,72188,269 of 3146
"Pierce County, Wisconsin",55093,72323,268 of 3146
"Johnson County, Indiana",18081,72440,267 of 3146
"Armstrong County, Texas",48011,72500,266 of 3146
"Washtenaw County, Michigan",26161,72586,265 of 3146
"Bryan County, Georgia",13029,72624,264 of 3146
"Ketchikan Gateway Borough, Alaska",2130,72728,263 of 3146
"Woodford County, Illinois",17203,72808,262 of 3146
"Strafford County, New Hampshire",33017,72960,261 of 3146
"Leavenworth County, Kansas",20103,73013,260 of 3146
"Cumberland County, Maine",23005,73072,259 of 3146
"Renville County, North Dakota",38075,73182,258 of 3146
"Galveston County, Texas",48167,73330,257 of 3146
"Warrick County, Indiana",18173,73482,256 of 3146
"New London County, Connecticut",9011,73490,255 of 3146
"San Luis Obispo County, California",6079,73518,254 of 3146
"Kent County, Rhode Island",44003,73521,253 of 3146
"Talbot County, Maryland",24041,73547,252 of 3146
"Park County, Colorado",8093,73622,251 of 3146
"Chittenden County, Vermont",50007,73647,250 of 3146
"Sitka Borough, Alaska",2220,73682,249 of 3146
"New Castle County, Delaware",10003,73892,248 of 3146
"Dane County, Wisconsin",55025,73893,247 of 3146
"Isle of Wight County, Virginia",51093,73991,245 of 3146
"Hancock County, Indiana",18059,74072,244 of 3146
"Weld County, Colorado",8123,74150,243 of 3146
"Teton County, Idaho",16081,74216,242 of 3146
"Rappahannock County, Virginia",51157,74284,241 of 3146
"Barnstable County, Massachusetts",25001,74336,240 of 3146
"Delaware County, Pennsylvania",42045,74477,239 of 3146
"Guadalupe County, Texas",48187,74496,238 of 3146
"Tooele County, Utah",49045,74562,237 of 3146
"Dodge County, Minnesota",27039,74575,236 of 3146
"Isanti County, Minnesota",27059,74616,235 of 3146
"Santa Barbara County, California",6083,74624,234 of 3146
"Utah County, Utah",49049,74665,233 of 3146
"Worcester County, Massachusetts",25027,74679,232 of 3146
"Menard County, Illinois",17129,74684,231 of 3146
"Sweetwater County, Wyoming",56037,74843,230 of 3146
"Salt Lake County, Utah",49035,74865,229 of 3146
"Reagan County, Texas",48383,74868,228 of 3146
"Carson County, Texas",48065,74872,227 of 3146
"Suffolk City, Virginia",51800,74884,226 of 3146
"Hartford County, Connecticut",9003,75148,225 of 3146
"Billings County, North Dakota",38007,75208,224 of 3146
"Clark County, Washington",53011,75253,223 of 3146
"Kitsap County, Washington",53035,75411,222 of 3146
"Daggett County, Utah",49009,75417,221 of 3146
"Matanuska-Susitna Borough, Alaska",2170,75493,220 of 3146
"Merrimack County, New Hampshire",33013,75737,219 of 3146
"Calumet County, Wisconsin",55015,75814,218 of 3146
"Travis County, Texas",48453,75887,217 of 3146
"Coweta County, Georgia",13077,75913,216 of 3146
"Garfield County, Colorado",8045,75937,215 of 3146
"Wilson County, Tennessee",47189,75991,214 of 3146
"Andrews County, Texas",48003,76158,213 of 3146
"Harris County, Georgia",13145,76319,212 of 3146
"Gilpin County, Colorado",8047,76429,211 of 3146
"Medina County, Ohio",39103,76600,210 of 3146
"Virginia Beach City, Virginia",51810,76610,209 of 3146
"Wilson County, Texas",48493,76692,208 of 3146
"Dunn County, North Dakota",38025,76719,207 of 3146
"Baltimore County, Maryland",24005,76866,206 of 3146
"Ellis County, Texas",48139,76871,205 of 3146
"Fluvanna County, Virginia",51065,76873,204 of 3146
"Cecil County, Maryland",24015,76887,203 of 3146
"Olmsted County, Minnesota",27109,76951,202 of 3146
"Fairbanks North Star, Alaska",2090,76992,201 of 3146
"Warren County, Iowa",19181,77048,200 of 3146
"Burke County, North Dakota",38013,77232,199 of 3146
"Grundy County, Illinois",17063,77350,198 of 3146
"Sublette County, Wyoming",56035,77403,197 of 3146
"Routt County, Colorado",8107,77443,196 of 3146
"Arapahoe County, Colorado",8005,77469,195 of 3146
"Parker County, Texas",48367,77503,194 of 3146
"Washington County, Wisconsin",55131,77663,193 of 3146
"Shelby County, Alabama",1117,77799,192 of 3146
"McKenzie County, North Dakota",38053,77845,191 of 3146
"Cobb County, Georgia",13067,77932,190 of 3146
"Culpeper County, Virginia",51047,77935,189 of 3146
"Frederick County, Virginia",51069,78002,188 of 3146
"Hennepin County, Minnesota",27053,78167,187 of 3146
"Boone County, Kentucky",21015,78327,186 of 3146
"Glasscock County, Texas",48173,78456,185 of 3146
"Chesapeake City, Virginia",51550,78640,184 of 3146
"Oliver County, North Dakota",38065,78929,183 of 3146
"Pitkin County, Colorado",8097,78935,182 of 3146
"San Diego County, California",6073,78980,181 of 3146
"Essex County, Massachusetts",25009,79263,180 of 3146
"Summit County, Colorado",8117,79277,179 of 3146
"North Slope Borough, Alaska",2185,79306,178 of 3146
"Kane County, Illinois",17089,79394,177 of 3146
"Midland County, Texas",48329,79421,176 of 3146
"Newport County, Rhode Island",44005,79454,175 of 3146
"Oakland County, Michigan",26125,79698,174 of 3146
"Bristol Bay Borough, Alaska",2060,79808,173 of 3146
"Valdez-Cordova Census Area, Alaska",2261,79867,172 of 3146
"Albemarle County, Virginia",51003,79880,171 of 3146
"Litchfield County, Connecticut",9005,79906,170 of 3146
"Comal County, Texas",48091,79936,169 of 3146
"Orange County, New York",36071,79944,168 of 3146
"Clarke County, Virginia",51043,80026,167 of 3146
"Union County, North Carolina",37179,80033,166 of 3146
"Spencer County, Kentucky",21215,80166,165 of 3146
"Union County, New Jersey",34039,80198,164 of 3146
"Platte County, Missouri",29165,80393,163 of 3146
"Jefferson County, West Virginia",54037,80430,162 of 3146
"Clackamas County, Oregon",41005,80484,161 of 3146
"Ascension Parish, Louisiana",22005,80527,160 of 3146
"Wake County, North Carolina",37183,80591,159 of 3146
"Montgomery County, Texas",48339,80902,158 of 3146
"Maui County, Hawaii",15009,80948,157 of 3146
"Sonoma County, California",6097,81018,156 of 3146
"Mercer County, New Jersey",34021,81057,155 of 3146
"Dutchess County, New York",36027,81219,154 of 3146
"Elko County, Nevada",32007,81232,153 of 3146
"Warren County, New Jersey",34041,81307,152 of 3146
"Brazoria County, Texas",48039,81447,151 of 3146
"Hillsborough County, New Hampshire",33011,81460,150 of 3146
"Solano County, California",6095,81472,149 of 3146
"Manassas City, Virginia",51683,81493,148 of 3146
"Denali, Alaska",2068,81719,147 of 3146
"Hendricks County, Indiana",18063,81933,146 of 3146
"Sarpy County, Nebraska",31153,82032,145 of 3146
"Anoka County, Minnesota",27003,82175,144 of 3146
"Mercer County, North Dakota",38057,82181,143 of 3146
"Washington County, Oregon",41067,82215,142 of 3146
"Santa Cruz County, California",6087,82234,141 of 3146
"St. Johns County, Florida",12109,82252,140 of 3146
"Geauga County, Ohio",39055,82303,139 of 3146
"Columbia County, Georgia",13073,82339,138 of 3146
"Lincoln County, South Dakota",46083,82473,137 of 3146
"Chesterfield County, Virginia",51041,82599,136 of 3146
"Campbell County, Wyoming",56005,82659,135 of 3146
"Cherokee County, Georgia",13057,82740,134 of 3146
"Richmond County, New York",36085,82783,133 of 3146
"Jefferson County, Colorado",8059,82986,132 of 3146
"Boulder County, Colorado",8013,83019,131 of 3146
"Boone County, Indiana",18011,83077,130 of 3146
"Bristol County, Rhode Island",44001,83092,129 of 3146
"Davis County, Utah",49011,83310,128 of 3146
"El Dorado County, California",6017,83377,127 of 3146
"Chisago County, Minnesota",27025,83464,126 of 3146
"Kauai County, Hawaii",15007,83554,125 of 3146
"Loving County, Texas",48301,83750,124 of 3146
"Livingston County, Michigan",26093,84221,123 of 3146
"Saratoga County, New York",36091,84291,122 of 3146
"Teton County, Wyoming",56039,84678,121 of 3146
"Kendall County, Texas",48259,84747,120 of 3146
"St. Croix County, Wisconsin",55109,84756,119 of 3146
"Eagle County, Colorado",8037,84790,118 of 3146
"Prince Georges County, Maryland",24033,84920,117 of 3146
"Anchorage Borough, Alaska",2020,84928,116 of 3146
"Wright County, Minnesota",27171,84974,115 of 3146
"St. Charles County, Missouri",29183,84978,114 of 3146
"Wasatch County, Utah",49051,85166,113 of 3146
"Ozaukee County, Wisconsin",55089,85215,112 of 3146
"Washington County, Rhode Island",44009,85531,111 of 3146
"Monroe County, Illinois",17133,85747,110 of 3146
"Kodiak Island Borough, Alaska",2150,85839,109 of 3146
"Honolulu County, Hawaii",15003,85857,108 of 3146
"Middlesex County, Connecticut",9007,85898,107 of 3146
"Dakota County, Minnesota",27037,86036,106 of 3146
District of Columbia,11001,86420,105 of 3146
"New York County, New York",36061,86553,104 of 3146
"Snohomish County, Washington",53061,86691,103 of 3146
"Union County, Ohio",39159,86715,102 of 3146
"McHenry County, Illinois",17111,86799,101 of 3146
"Denton County, Texas",48121,86913,100 of 3146
"San Benito County, California",6069,86958,99 of 3146
"Will County, Illinois",17197,86961,98 of 3146
"Tolland County, Connecticut",9013,87069,97 of 3146
"Warren County, Ohio",39165,87125,96 of 3146
"Williams County, North Dakota",38105,87161,95 of 3146
"Waukesha County, Wisconsin",55133,87277,94 of 3146
"Gloucester County, New Jersey",34015,87283,93 of 3146
"Williamson County, Texas",48491,87337,92 of 3146
"Burlington County, New Jersey",34005,87416,91 of 3146
"Aleutians West Census Area, Alaska",2016,87466,90 of 3146
"James City County, Virginia",51095,87678,89 of 3146
"New Kent County, Virginia",51127,87904,88 of 3146
"Lander County, Nevada",32015,88030,87 of 3146
"Manassas Park City, Virginia",51685,88046,86 of 3146
"Ventura County, California",6111,88131,85 of 3146
"Juneau Borough, Alaska",2110,88390,84 of 3146
"Dallas County, Iowa",19049,88479,83 of 3146
"Napa County, California",6055,88596,82 of 3146
"Spotsylvania County, Virginia",51177,88628,81 of 3146
"Johnson County, Kansas",20091,89087,80 of 3146
"Powhatan County, Virginia",51145,89090,79 of 3146
"Bucks County, Pennsylvania",42017,89139,78 of 3146
"Harford County, Maryland",24025,89147,77 of 3146
"Sherburne County, Minnesota",27141,89250,76 of 3146
"Hanover County, Virginia",51085,89390,75 of 3146
"Lake County, Illinois",17097,89427,74 of 3146
"Plymouth County, Massachusetts",25023,89489,73 of 3146
"Middlesex County, New Jersey",34023,89533,72 of 3146
"Placer County, California",6061,89691,71 of 3146
"St. Marys County, Maryland",24037,89845,70 of 3146
"Fayette County, Georgia",13113,90145,69 of 3146
"Orange County, California",6059,90234,68 of 3146
"Oconee County, Georgia",13219,90751,67 of 3146
"Chambers County, Texas",48071,91141,66 of 3146
"Morgan County, Utah",49029,91341,65 of 3146
"Montgomery County, Pennsylvania",42091,91546,64 of 3146
"York County, Virginia",51199,92069,63 of 3146
"DuPage County, Illinois",17043,92809,62 of 3146
"Rockland County, New York",36087,93024,61 of 3146
"Rockingham County, New Hampshire",33015,93756,60 of 3146
"Goochland County, Virginia",51075,93994,59 of 3146
"King George County, Virginia",51099,94274,58 of 3146
"Sussex County, New Jersey",34037,94520,57 of 3146
"King County, Washington",53033,94974,56 of 3146
"Fairfield County, Connecticut",9001,95645,55 of 3146
"Broomfield County, Colorado",8014,96416,54 of 3146
"Kendall County, Illinois",17093,96563,53 of 3146
"Westchester County, New York",36119,96610,52 of 3146
"Washington County, Minnesota",27163,96671,51 of 3146
"Carroll County, Maryland",24013,96769,50 of 3146
"Collin County, Texas",48085,96913,49 of 3146
"Queen Annes County, Maryland",24035,97034,48 of 3146
"Poquoson City, Virginia",51735,97118,47 of 3146
"Frederick County, Maryland",24021,97730,46 of 3146
"Fort Bend County, Texas",48157,97743,45 of 3146
"Hamilton County, Indiana",18057,98173,44 of 3146
"Oldham County, Kentucky",21185,99128,43 of 3146
"Elbert County, Colorado",8039,99199,42 of 3146
"Alameda County, California",6001,99406,41 of 3146
"Contra Costa County, California",6013,99716,40 of 3146
"Monmouth County, New Jersey",34025,99733,39 of 3146
"Charles County, Maryland",24017,100003,38 of 3146
"Chester County, Pennsylvania",42029,100214,37 of 3146
"Fauquier County, Virginia",51061,100783,36 of 3146
"Anne Arundel County, Maryland",24003,100798,35 of 3146
"Rockwall County, Texas",48397,100920,34 of 3146
"Alexandria City, Virginia",51510,100939,33 of 3146
"Suffolk County, New York",36103,101031,32 of 3146
"Bergen County, New Jersey",34003,101144,31 of 3146
"Carver County, Minnesota",27019,101496,30 of 3146
"Scott County, Minnesota",27139,102152,29 of 3146
"Middlesex County, Massachusetts",25017,102603,28 of 3146
"Summit County, Utah",49043,102958,27 of 3146
"Norfolk County, Massachusetts",25021,103291,26 of 3146
"Putnam County, New York",36079,104486,25 of 3146
"Delaware County, Ohio",39041,106908,24 of 3146
"Prince William County, Virginia",51153,107132,23 of 3146
"Forsyth County, Georgia",13117,107218,22 of 3146
"Nantucket County, Massachusetts",25019,107717,21 of 3146
"Montgomery County, Maryland",24031,108820,20 of 3146
"Calvert County, Maryland",24009,109313,19 of 3146
"Stafford County, Virginia",51179,111108,18 of 3146
"San Francisco County, California",6075,112449,17 of 3146
"Williamson County, Tennessee",47187,112962,16 of 3146
"Somerset County, New Jersey",34035,113611,15 of 3146
"Marin County, California",6041,115246,14 of 3146
"Hunterdon County, New Jersey",34019,115379,13 of 3146
"Morris County, New Jersey",34027,115527,12 of 3146
"Nassau County, New York",36059,116100,11 of 3146
"Fairfax City, Virginia",51600,116979,10 of 3146
"Douglas County, Colorado",8035,119730,9 of 3146
"Arlington County, Virginia",51013,120071,8 of 3146
"Howard County, Maryland",24027,121160,7 of 3146
"Los Alamos County, New Mexico",35028,121324,6 of 3146
"San Mateo County, California",6081,122641,5 of 3146
"Santa Clara County, California",6085,124055,4 of 3146
"Fairfax County, Virginia",51059,124831,3 of 3146
"Falls Church City, Virginia",51610,127610,2 of 3146
"Loudoun County, Virginia",51107,142299,1 of 3146
